Non-Compostable Organics>Treated or Painted Wood>Finished Wood ,5266050
Non-Compostable Organics>Treated or Painted Wood>Finished Wood Furniture ,2194188
Non-Compostable Organics>Textiles>Natural Fiber Clothing ,4827213
Non-Compostable Organics>Textiles>Other Textile Products ,2633025
Non-Compostable Organics>Rubber>Tires ,438838
Non-Compostable Organics>Rubber>Other Rubber (gloves) ,2194188
Non-Compostable Organics>Leather / Multiple/Composite Organic Materials>Leather ,0
Non-Compostable Organics>Leather / Multiple/Composite Organic Materials>Composite Organic Materials (shoes) ,5266050
Metals>Ferrous>Alcoholic ,0
Metals>Ferrous>Non-Alcoholic ,0
Metals>Ferrous>Food Containers ,1316513
Metals>Ferrous>Spiral-Wound Containers ,438838
Metals>Ferrous>Other Ferrous ,0
Metals>Bimetallic>Food Containers ,438838
Metals>Bimetallic>Other Bimetallic ,0
"Metals>Non-Ferrous (copper, aluminum, brass)>Alcoholic ",0
"Metals>Non-Ferrous (copper, aluminum, brass)>Non-Alcoholic ",438838
"Metals>Non-Ferrous (copper, aluminum, brass)>Food Containers ",438838
"Metals>Non-Ferrous (copper, aluminum, brass)>Foil Trays, Wrap ",2194188
"Metals>Non-Ferrous (copper, aluminum, brass)>Other Non-Ferrous ",438838
Metals>Non-Consumable Mixed Metals>Household ,3949538
Metals>Non-Consumable Mixed Metals>Machine Parts ,0
Metals>Non-Consumable Mixed Metals>Construction/Industrial ,0
Glass>Beverage Containers>Beer ,0
Glass>Beverage Containers>Other Alcohol ,0
Glass>Beverage Containers>Non-Alcoholic & Non-Dairy ,0
Glass>Beverage Containers>Dairy or Dairy Substitute ,0
Glass>Food Containers>Food Containers ,2194188
Glass>Other Glass and Ceramics>Other Glass and Ceramics ,7021400
Building Material>Gypsum / Drywall>Gypsum/Drywall ,2194188
Building Material>Masonry>Masonry ,0
"Building Material>Rock, Sand, Dirt>Rock, Sand, Dirt ",0
Building Material>Rigid Asphalt>Rigid Asphalt ,0
Building Material>Carpet Waste>Carpet Waste ,438838
Building Material>Other Inorganics>Other Inorganics ,877675
Electronic Waste>Computers and Peripherals>Desktop Computers ,0
Electronic Waste>Computers and Peripherals>Notebook Computers ,0
Electronic Waste>Computers and Peripherals>Computer Peripherals ,0
Electronic Waste>Computers and Peripherals>Computer Monitors ,0
"Electronic Waste>Computers and Peripherals>Printers, Scanners ",0
Electronic Waste>Televisions & AV Equipment>Televisions ,0
Electronic Waste>Televisions & AV Equipment>Other Audio/Video ,438838
Electronic Waste>Telephones & Telecommunications Equipment>Mobile Phones & Accessories ,438838
Electronic Waste>Telephones & Telecommunications Equipment>Other ,0
Electronic Waste>Small Appliances & Floor Care Appliances>Small Appliances & Floor Care Appliances ,1316513
Electronic Waste>Electronic Toys>Electronic Toys ,438838
Electronic Waste>Smoke Detectors>Smoke Detectors ,0
Electronic Waste>Other Electronics>Other Electronics ,1755350
Household Hazardous>Batteries>Lead Acid ,0
Household Hazardous>Batteries>All Other Batteries ,877675
Household Hazardous>Medical/Biological>Sharps ,438838
Household Hazardous>Medical/Biological>Animal Carcass (pets) ,0
Household Hazardous>Medical/Biological>Other ,0
Household Hazardous>HHW>Stains/Preservatives ,0
Household Hazardous>HHW>Latex Paint ,877675
Household Hazardous>HHW>Oil-Based Paint ,0
Household Hazardous>HHW>Paint Aerosols ,0
Household Hazardous>HHW>Solvents ,0
"Household Hazardous>HHW>Cleaners, Soaps etc. ",438838
Household Hazardous>HHW>Pesticides/Herbicides/Pres ervatives ,0
Household Hazardous>HHW>Motor Oil ,0
Household Hazardous>HHW>Oil Filters ,0
Household Hazardous>HHW>Antifreeze ,0
Household Hazardous>HHW>Pharmaceuticals ,438838
Household Hazardous>HHW>Other Petroleum Based Products ,0
Household Hazardous>HHW>Other ,3071863
Household Hazardous>Mercury Containing Items>Thermostats and Switches ,0
Household Hazardous>Mercury Containing Items>CFLs ,0
Household Hazardous>Other HHW>Other HHW or Containers ,0
Household Hygiene>Biological>Diapers ,42567238
Household Hygiene>Biological>Pet Waste ,13603963
"Household Hygiene>Biological>Other (sanitary products, condoms) ",16675825
Household Hygiene>Liquid Product>Personal Care ,2194188
Bulky Objects>White Goods>Large Appliances ,0
"Bulky Objects>Furniture>Mattresses, Box Springs ",0
Bulky Objects>Furniture>Other Upholstered Furniture ,0
Bulky Objects>Furniture>Other Furniture ,0
Fines>Fines>Fines ,4388375
